ID_CLIENTE_ANTERIOR,ID_CLIENTE_ATUAL,TIPO_CONTRATO,VALOR_ANUIDADE,VALOR_SOLICITADO,VALOR_CREDITO,VALOR_ENTRADA,VALOR_BENS,DIA_SEMANA_INICIO,HORA_INICIO,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,MOTIVO_EMPRESTIMO,STATUS_CONTRATO,DIAS_DECISAO,TIPO_PAGAMENTO,MOTIVO_REJEICAO,TIPO_ACOMPANHANTE,TIPO_CLIENTE,CATEGORIA_BENS,CARTEIRA,TIPO_PRODUTO,CANAL_VENDA,AREA_VENDEDOR,INDUSTRIA_VENDEDOR,QTD_PAGAMENTOS,GRUPO_RENTABILIDADE,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL,DATASET_TRATADO,DATA_DECISAO_PTBR
2030495,271877,CONSUMER LOANS,1730.43,17145.0,17145.0,0.0,17145.0,SATURDAY,15,Y,1,0.0,0.1828318032415278,0.8673361522198731,XAP,APPROVED,-73,CASH THROUGH THE BANK,XAP,,REPEATER,MOBILE,POS,XNA,COUNTRY-WIDE,35,CONNECTIVITY,12.0,MIDDLE,POS MOBILE WITH INTEREST,365243.0,-42.0,300.0,-42.0,-37.0,0.0,SIM,23/11/2025
2802425,108129,CASH LOANS,25188.615,607500.0,679671.0,,607500.0,THURSDAY,11,Y,1,,,,XNA,APPROVED,-164,XNA,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CONTACT CENTER,-1,XNA,36.0,LOW_ACTION,CASH X-SELL: LOW,365243.0,-134.0,916.0,365243.0,365243.0,1.0,SIM,24/08/2025
2523466,122040,CASH LOANS,15060.735,112500.0,136444.5,,112500.0,TUESDAY,11,Y,1,,,,XNA,APPROVED,-301,CASH THROUGH THE BANK,XAP,"SPOUSE, PARTNER",REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,12.0,HIGH,CASH X-SELL: HIGH,365243.0,-271.0,59.0,365243.0,365243.0,1.0,SIM,09/04/2025
2819243,176158,CASH LOANS,47041.335,450000.0,470790.0,,450000.0,MONDAY,7,Y,1,,,,XNA,APPROVED,-512,CASH THROUGH THE BANK,XAP,,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,12.0,MIDDLE,CASH X-SELL: MIDDLE,365243.0,-482.0,-152.0,-182.0,-177.0,1.0,SIM,10/09/2024
1784265,202054,CASH LOANS,31924.395,337500.0,404055.0,,337500.0,THURSDAY,9,Y,1,,,,REPAIRS,REFUSED,-781,CASH THROUGH THE BANK,HC,,REPEATER,XNA,CASH,WALK-IN,CREDIT AND CASH OFFICES,-1,XNA,24.0,HIGH,CASH STREET: HIGH,,,,,,,SIM,16/12/2023
1383531,199383,CASH LOANS,23703.93,315000.0,340573.5,,315000.0,SATURDAY,8,Y,1,,,,EVERYDAY EXPENSES,APPROVED,-684,CASH THROUGH THE BANK,XAP,FAMILY,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,18.0,LOW_NORMAL,CASH X-SELL: LOW,365243.0,-654.0,-144.0,-144.0,-137.0,1.0,SIM,22/03/2024
2315218,175704,CASH LOANS,,0.0,0.0,,,TUESDAY,11,Y,1,,,,XNA,CANCELED,-14,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,21/01/2026
1656711,296299,CASH LOANS,,0.0,0.0,,,MONDAY,7,Y,1,,,,XNA,CANCELED,-21,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,14/01/2026
2367563,342292,CASH LOANS,,0.0,0.0,,,MONDAY,15,Y,1,,,,XNA,CANCELED,-386,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,14/01/2025
2579447,334349,CASH LOANS,,0.0,0.0,,,SATURDAY,15,Y,1,,,,XNA,CANCELED,-57,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,09/12/2025
